SCIP version 10.0.3 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: SoPlex 8.0.3] [GitHash: d409edf9f6]
Copyright (c) 2002-2026 Zuse Institute Berlin (ZIB)

External libraries: 
  SoPlex 8.0.3         Linear programming solver developed at Zuse Institute Berlin (soplex.zib.de) [GitHash: 13e2ab24]
  CppAD 20180000.0     Algorithmic Differentiation of C++ algorithms developed by B. Bell (github.com/coin-or/CppAD)
  ZLIB 1.3.1           General purpose compression library by J. Gailly and M. Adler (zlib.net)
  MPFR 4.2.2           GNU Multiple Precision Floating-Point Reliable Library (mpfr.org)
  Boost 1.83.0         Boost C++ Libraries (boost.org)
  TinyCThread 1.2      small portable implementation of the C11 threads API (tinycthread.github.io)
  GMP 6.3.0            GNU Multiple Precision Arithmetic Library developed by T. Granlund (gmplib.org)
  ZIMPL 3.7.1          Zuse Institute Mathematical Programming Language developed by T. Koch (zimpl.zib.de)
  AMPL/MP 4.0.4        AMPL .nl file reader library (github.com/ampl/mp)
  PaPILO 3.0.1         parallel presolve for integer and linear optimization (github.com/scipopt/papilo) (built with TBB) [GitHash: ac69e19d]
  Nauty 2.8.8          Computing Graph Automorphism Groups by Brendan D. McKay (users.cecs.anu.edu.au/~bdm/nauty)
  sassy 2.1            Symmetry preprocessor by Markus Anders (github.com/markusa4/sassy)
  Ipopt 3.14.19        Interior Point Optimizer developed by A. Waechter et.al. (github.com/coin-or/Ipopt)

user parameter file <scip.set> not found - using default parameters


read problem <N20_R9_K3_4_23_split_4_fix23B_5_exact_fixrestA_spec9_20v3_v10_7_VM.lp>
============

original problem has 1481 variables (1460 bin, 21 int, 0 cont) and 5242 constraints

presolving:
(round 1, fast)       301 del vars, 187 del conss, 0 add conss, 74 chg bounds, 121 chg sides, 242 chg coeffs, 0 upgd conss, 0 impls, 2520 clqs, 0 implints
(round 2, fast)       553 del vars, 1360 del conss, 0 add conss, 84 chg bounds, 188 chg sides, 376 chg coeffs, 0 upgd conss, 0 impls, 2592 clqs, 0 implints
(round 3, fast)       553 del vars, 1360 del conss, 0 add conss, 90 chg bounds, 202 chg sides, 397 chg coeffs, 0 upgd conss, 0 impls, 2592 clqs, 0 implints
(round 4, fast)       553 del vars, 1360 del conss, 0 add conss, 92 chg bounds, 234 chg sides, 464 chg coeffs, 0 upgd conss, 0 impls, 2592 clqs, 0 implints
(round 5, fast)       553 del vars, 1360 del conss, 0 add conss, 92 chg bounds, 241 chg sides, 482 chg coeffs, 0 upgd conss, 0 impls, 2592 clqs, 0 implints
   (0.0s) running MILP presolver
   (0.0s) MILP presolver (2 rounds): 72 aggregations, 0 fixings, 0 bound changes
(round 6, medium)     625 del vars, 1360 del conss, 0 add conss, 92 chg bounds, 241 chg sides, 482 chg coeffs, 0 upgd conss, 0 impls, 2448 clqs, 0 implints
(round 7, fast)       625 del vars, 1504 del conss, 2 add conss, 92 chg bounds, 241 chg sides, 482 chg coeffs, 0 upgd conss, 0 impls, 2448 clqs, 4 implints
(round 8, exhaustive) 625 del vars, 1515 del conss, 2 add conss, 92 chg bounds, 241 chg sides, 482 chg coeffs, 0 upgd conss, 0 impls, 2448 clqs, 4 implints
(round 9, exhaustive) 625 del vars, 1515 del conss, 2 add conss, 92 chg bounds, 241 chg sides, 482 chg coeffs, 3452 upgd conss, 0 impls, 2448 clqs, 4 implints
(round 10, exhaustive) 625 del vars, 4779 del conss, 818 add conss, 92 chg bounds, 241 chg sides, 482 chg coeffs, 3452 upgd conss, 0 impls, 2448 clqs, 4 implints
(round 11, exhaustive) 625 del vars, 4779 del conss, 818 add conss, 92 chg bounds, 241 chg sides, 635 chg coeffs, 3452 upgd conss, 0 impls, 2448 clqs, 4 implints
(round 12, exhaustive) 625 del vars, 4779 del conss, 818 add conss, 92 chg bounds, 243 chg sides, 635 chg coeffs, 3452 upgd conss, 0 impls, 2448 clqs, 4 implints
(round 13, exhaustive) 650 del vars, 4779 del conss, 818 add conss, 92 chg bounds, 243 chg sides, 635 chg coeffs, 3452 upgd conss, 1427 impls, 19368 clqs, 4 implints
(round 14, fast)       650 del vars, 4779 del conss, 822 add conss, 92 chg bounds, 243 chg sides, 635 chg coeffs, 3477 upgd conss, 1427 impls, 19368 clqs, 4 implints
(round 15, exhaustive) 650 del vars, 4783 del conss, 822 add conss, 92 chg bounds, 245 chg sides, 637 chg coeffs, 3477 upgd conss, 1427 impls, 19368 clqs, 4 implints
   (0.1s) probing: 816/1090 (74.9%) - 25 fixings, 0 aggregations, 47336 implications, 0 bound changes
   (0.1s) probing aborted: 50/50 successive totally useless probings
   (0.1s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.1s) no symmetry present (symcode time: 0.00)
presolving (16 rounds: 16 fast, 9 medium, 8 exhaustive):
 650 deleted vars, 4783 deleted constraints, 822 added constraints, 92 tightened bounds, 0 added holes, 245 changed sides, 639 changed coefficients
 1427 implications, 19368 cliques, 4 implied integral variables (0 bin, 4 int, 0 cont)
presolved problem has 1083 variables (1065 bin, 18 int, 0 cont) and 1281 constraints
     14 constraints of type <varbound>
    156 constraints of type <knapsack>
    791 constraints of type <and>
    277 constraints of type <linear>
     43 constraints of type <logicor>
transformed objective value is always integral (scale: 1)
Presolving Time: 0.13

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.3s|     1 |     0 |  1847 |     - |    30M |   0 |1083 |1294 |2072 |   0 |  0 |  12 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  0.7s|     1 |     0 |  7545 |     - |    43M |   0 |1083 |1303 |2110 |  38 |  1 |  21 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  0.8s|     1 |     0 |  7712 |     - |    59M |   0 |1083 |1304 |2149 |  77 |  2 |  22 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  0.9s|     1 |     0 |  7794 |     - |    71M |   0 |1083 |1304 |2176 | 104 |  3 |  22 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  0.9s|     1 |     0 |  7840 |     - |    82M |   0 |1083 |1305 |2186 | 114 |  4 |  23 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  1.0s|     1 |     0 |  7868 |     - |    94M |   0 |1083 |1306 |2193 | 121 |  5 |  24 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  1.1s|     1 |     0 |  7887 |     - |   104M |   0 |1083 |1307 |2201 | 129 |  6 |  25 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  1.2s|     1 |     0 |  7933 |     - |   119M |   0 |1083 |1307 |2208 | 136 |  7 |  25 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  1.4s|     1 |     0 |  7981 |     - |   128M |   0 |1083 |1308 |2213 | 141 |  8 |  26 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  1.5s|     1 |     0 |  8019 |     - |   141M |   0 |1083 |1308 |2218 | 146 |  9 |  26 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  1.7s|     1 |     0 |  8031 |     - |   157M |   0 |1083 |1308 |2222 | 150 | 10 |  26 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  1.7s|     1 |     0 |  8069 |     - |   157M |   0 |1083 |1308 |2227 | 155 | 11 |  26 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  1.7s|     1 |     0 |  8079 |     - |   157M |   0 |1083 |1309 |2231 | 159 | 12 |  27 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  1.8s|     1 |     0 |  8087 |     - |   157M |   0 |1083 |1310 |2234 | 162 | 13 |  28 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  2.1s|     1 |     2 |  9616 |     - |   157M |   0 |1083 |1316 |2234 | 162 | 13 |  34 |  14 | 0.000000e+00 |      --      |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  5.7s|   100 |    67 | 56849 | 492.5 |   178M |  25 |1083 |1476 |2368 |1251 |  0 | 194 |  14 | 0.000000e+00 |      --      |    Inf |   1.48%
  7.3s|   200 |    85 | 70099 | 311.6 |   180M |  31 |1083 |1520 |2335 |1601 |  2 | 238 |  14 | 0.000000e+00 |      --      |    Inf |   1.48%
  8.5s|   300 |    89 | 86066 | 260.8 |   181M |  31 |1083 |1588 |2362 |2030 |  2 | 306 |  14 | 0.000000e+00 |      --      |    Inf |   1.48%
  9.5s|   400 |    99 | 98738 | 227.2 |   181M |  31 |1083 |1644 |2483 |2424 |  0 | 363 |  14 | 0.000000e+00 |      --      |    Inf |   1.49%
 10.2s|   500 |   116 |108767 | 201.8 |   180M |  31 |1083 |1689 |2319 |2795 |  2 | 408 |  14 | 0.000000e+00 |      --      |    Inf |   1.50%
 10.8s|   600 |   117 |116967 | 181.8 |   176M |  33 |1083 |1732 |2475 |3129 |  1 | 451 |  14 | 0.000000e+00 |      --      |    Inf |   1.50%
 11.4s|   700 |   111 |126225 | 169.0 |   177M |  33 |1083 |1795 |2312 |3442 |  2 | 514 |  14 | 0.000000e+00 |      --      |    Inf |   1.50%
 12.1s|   800 |   122 |136015 | 160.1 |   177M |  33 |1083 |1851 |2331 |4037 |  0 | 575 |  14 | 0.000000e+00 |      --      |    Inf |   1.55%
 12.7s|   900 |   120 |144264 | 151.5 |   177M |  33 |1083 |1893 |2407 |4338 |  0 | 618 |  14 | 0.000000e+00 |      --      |    Inf |   1.55%
 13.4s|  1000 |   127 |152999 | 145.1 |   177M |  33 |1083 |1943 |2315 |4689 |  0 | 670 |  14 | 0.000000e+00 |      --      |    Inf |   1.56%
 14.1s|  1100 |   136 |161314 | 139.4 |   177M |  33 |1083 |2009 |2338 |5014 |  0 | 738 |  14 | 0.000000e+00 |      --      |    Inf |   1.56%
 14.9s|  1200 |   162 |170202 | 135.2 |   179M |  33 |1083 |2052 |2232 |5450 |  1 | 784 |  14 | 0.000000e+00 |      --      |    Inf |   1.59%
 15.6s|  1300 |   168 |177544 | 130.5 |   179M |  33 |1083 |2115 |2412 |5682 |  0 | 849 |  14 | 0.000000e+00 |      --      |    Inf |   1.61%
 16.5s|  1400 |   165 |188483 | 128.9 |   179M |  33 |1083 |2176 |2321 |6094 |  0 | 914 |  14 | 0.000000e+00 |      --      |    Inf |   1.62%
 17.3s|  1500 |   165 |198021 | 126.7 |   180M |  33 |1083 |2232 |2323 |6472 |  2 | 985 |  14 | 0.000000e+00 |      --      |    Inf |   1.64%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
