SCIP version 10.0.1 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: SoPlex 8.0.1] [GitHash: 76a50c97d6]
Copyright (c) 2002-2026 Zuse Institute Berlin (ZIB)

External libraries: 
  SoPlex 8.0.1         Linear programming solver developed at Zuse Institute Berlin (soplex.zib.de) [GitHash: c69290aa]
  CppAD 20180000.0     Algorithmic Differentiation of C++ algorithms developed by B. Bell (github.com/coin-or/CppAD)
  ZLIB 1.3.1           General purpose compression library by J. Gailly and M. Adler (zlib.net)
  MPFR 4.2.2           GNU Multiple Precision Floating-Point Reliable Library (mpfr.org)
  Boost 1.89.0         Boost C++ Libraries (boost.org)
  TinyCThread 1.2      small portable implementation of the C11 threads API (tinycthread.github.io)
  GMP 6.3.0            GNU Multiple Precision Arithmetic Library developed by T. Granlund (gmplib.org)
  ZIMPL 3.7.0          Zuse Institute Mathematical Programming Language developed by T. Koch (zimpl.zib.de)
  AMPL/MP 4.0.4        AMPL .nl file reader library (github.com/ampl/mp)
  PaPILO 3.0.0         parallel presolve for integer and linear optimization (github.com/scipopt/papilo) (built with TBB) [GitHash: 4cbdc327]
  Nauty 2.8.8          Computing Graph Automorphism Groups by Brendan D. McKay (users.cecs.anu.edu.au/~bdm/nauty)
  sassy 2.0            Symmetry preprocessor by Markus Anders (github.com/markusa4/sassy)
  Ipopt 3.14.19        Interior Point Optimizer developed by A. Waechter et.al. (github.com/coin-or/Ipopt)

user parameter file <scip.set> not found - using default parameters


read problem <N19_R8_K3_0_21_split_21_str4_v9_VM_woLA.lp>
============

original problem has 1240 variables (1220 bin, 20 int, 0 cont) and 4363 constraints

presolving:
(round 1, fast)       144 del vars, 655 del conss, 0 add conss, 173 chg bounds, 80 chg sides, 160 chg coeffs, 0 upgd conss, 0 impls, 2504 clqs, 0 implints
(round 2, fast)       144 del vars, 665 del conss, 0 add conss, 187 chg bounds, 158 chg sides, 316 chg coeffs, 0 upgd conss, 0 impls, 2504 clqs, 0 implints
(round 3, fast)       144 del vars, 665 del conss, 0 add conss, 199 chg bounds, 222 chg sides, 431 chg coeffs, 0 upgd conss, 0 impls, 2504 clqs, 0 implints
(round 4, fast)       144 del vars, 665 del conss, 0 add conss, 209 chg bounds, 277 chg sides, 526 chg coeffs, 0 upgd conss, 0 impls, 2504 clqs, 0 implints
(round 5, fast)       144 del vars, 665 del conss, 0 add conss, 217 chg bounds, 324 chg sides, 603 chg coeffs, 0 upgd conss, 0 impls, 2504 clqs, 0 implints
(round 6, fast)       144 del vars, 665 del conss, 0 add conss, 223 chg bounds, 363 chg sides, 664 chg coeffs, 0 upgd conss, 0 impls, 2504 clqs, 0 implints
(round 7, fast)       144 del vars, 665 del conss, 0 add conss, 227 chg bounds, 394 chg sides, 714 chg coeffs, 0 upgd conss, 0 impls, 2504 clqs, 0 implints
(round 8, fast)       144 del vars, 665 del conss, 0 add conss, 229 chg bounds, 417 chg sides, 747 chg coeffs, 0 upgd conss, 0 impls, 2504 clqs, 0 implints
(round 9, fast)       144 del vars, 665 del conss, 0 add conss, 230 chg bounds, 431 chg sides, 761 chg coeffs, 0 upgd conss, 0 impls, 2504 clqs, 0 implints
(round 10, fast)       144 del vars, 665 del conss, 0 add conss, 230 chg bounds, 437 chg sides, 767 chg coeffs, 0 upgd conss, 0 impls, 2504 clqs, 0 implints
   (0.0s) running MILP presolver
   (0.0s) MILP presolver (2 rounds): 28 aggregations, 0 fixings, 0 bound changes
(round 11, medium)     172 del vars, 665 del conss, 0 add conss, 230 chg bounds, 437 chg sides, 767 chg coeffs, 0 upgd conss, 0 impls, 2448 clqs, 0 implints
(round 12, fast)       172 del vars, 721 del conss, 0 add conss, 230 chg bounds, 437 chg sides, 767 chg coeffs, 0 upgd conss, 0 impls, 2448 clqs, 0 implints
(round 13, exhaustive) 172 del vars, 730 del conss, 0 add conss, 230 chg bounds, 437 chg sides, 767 chg coeffs, 0 upgd conss, 0 impls, 2448 clqs, 0 implints
(round 14, exhaustive) 172 del vars, 730 del conss, 0 add conss, 230 chg bounds, 437 chg sides, 767 chg coeffs, 3441 upgd conss, 0 impls, 2448 clqs, 0 implints
(round 15, exhaustive) 172 del vars, 3994 del conss, 816 add conss, 230 chg bounds, 437 chg sides, 767 chg coeffs, 3441 upgd conss, 0 impls, 2448 clqs, 0 implints
(round 16, exhaustive) 172 del vars, 3994 del conss, 816 add conss, 230 chg bounds, 437 chg sides, 920 chg coeffs, 3441 upgd conss, 0 impls, 2448 clqs, 0 implints
   (0.0s) probing: 944/1049 (90.0%) - 0 fixings, 0 aggregations, 5213 implications, 0 bound changes
   (0.0s) probing aborted: 50/50 successive totally useless probings
   (0.0s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.0s) no symmetry present (symcode time: 0.00)
presolving (17 rounds: 17 fast, 6 medium, 5 exhaustive):
 172 deleted vars, 3994 deleted constraints, 816 added constraints, 230 tightened bounds, 0 added holes, 437 changed sides, 920 changed coefficients
 4139 implications, 3522 cliques, 0 implied integral variables (0 bin, 0 int, 0 cont)
presolved problem has 1068 variables (1049 bin, 19 int, 0 cont) and 1185 constraints
     16 constraints of type <varbound>
    153 constraints of type <knapsack>
    816 constraints of type <and>
    192 constraints of type <linear>
      8 constraints of type <logicor>
transformed objective value is always integral (scale: 1)
Presolving Time: 0.00

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.0s|     1 |     0 |  1425 |     - |    26M |   0 |1068 |1219 |2001 |   0 |  0 |  34 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  0.0s|     1 |     0 |  4559 |     - |    40M |   0 |1068 |1231 |2018 |  17 |  1 |  46 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  0.0s|     1 |     0 |  4604 |     - |    57M |   0 |1068 |1232 |2035 |  34 |  2 |  47 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  0.0s|     1 |     0 |  4634 |     - |    74M |   0 |1068 |1232 |2046 |  45 |  3 |  47 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  0.0s|     1 |     0 |  4668 |     - |    89M |   0 |1068 |1232 |2053 |  52 |  4 |  47 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  1.0s|     1 |     0 |  4691 |     - |   102M |   0 |1068 |1234 |2060 |  59 |  5 |  49 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  1.0s|     1 |     0 |  4728 |     - |   116M |   0 |1068 |1234 |2064 |  63 |  6 |  49 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  1.0s|     1 |     0 |  4762 |     - |   126M |   0 |1068 |1234 |2070 |  69 |  7 |  49 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  1.0s|     1 |     0 |  4800 |     - |   136M |   0 |1068 |1234 |2077 |  76 |  8 |  49 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  1.0s|     1 |     0 |  4831 |     - |   150M |   0 |1068 |1234 |2082 |  81 |  9 |  49 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  1.0s|     1 |     0 |  4843 |     - |   162M |   0 |1068 |1234 |2083 |  82 | 10 |  49 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  1.0s|     1 |     0 |  4861 |     - |   162M |   0 |1068 |1234 |2077 |  86 | 11 |  49 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  1.0s|     1 |     2 |  5472 |     - |   162M |   0 |1068 |1241 |2077 |  86 | 11 |  56 |  17 | 0.000000e+00 |      --      |    Inf | unknown
  5.0s|   100 |    56 | 39249 | 347.4 |   179M |  28 |1068 |1471 |2046 | 639 |  2 | 286 |  17 | 0.000000e+00 |      --      |    Inf | unknown
  6.0s|   200 |   128 | 54976 | 251.8 |   193M |  28 |1068 |1541 |2091 |1469 |  2 | 360 |  17 | 0.000000e+00 |      --      |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  8.0s|   300 |   193 | 73881 | 230.8 |   202M |  28 |1068 |1568 |2156 |2661 |  2 | 387 |  17 | 0.000000e+00 |      --      |    Inf | unknown
 10.0s|   400 |   242 | 98386 | 234.4 |   206M |  28 |1068 |1647 |2169 |3716 |  0 | 466 |  17 | 0.000000e+00 |      --      |    Inf | unknown
 13.0s|   500 |   316 |127906 | 246.6 |   199M |  28 |1068 |1685 |2307 |5289 |  2 | 514 |  17 | 0.000000e+00 |      --      |    Inf | unknown
 14.0s|   600 |   387 |144303 | 232.8 |   200M |  28 |1068 |1709 |2245 |6375 |  3 | 538 |  17 | 0.000000e+00 |      --      |    Inf | unknown
 16.0s|   700 |   440 |163780 | 227.4 |   201M |  28 |1068 |1753 |2225 |7376 |  2 | 583 |  17 | 0.000000e+00 |      --      |    Inf | unknown
 17.0s|   800 |   494 |180444 | 219.8 |   203M |  30 |1068 |1795 |2232 |8399 |  2 | 630 |  17 | 0.000000e+00 |      --      |    Inf |   0.53%
 19.0s|   900 |   556 |201530 | 218.8 |   204M |  30 |1068 |1847 |2164 |9463 |  2 | 686 |  17 | 0.000000e+00 |      --      |    Inf |   0.75%
 21.0s|  1000 |   612 |218692 | 214.0 |   206M |  30 |1068 |1888 |2069 |  10k|  2 | 729 |  17 | 0.000000e+00 |      --      |    Inf |   1.22%
 22.0s|  1100 |   693 |235411 | 209.8 |   207M |  30 |1068 |1899 |2138 |  11k|  2 | 749 |  17 | 0.000000e+00 |      --      |    Inf |   2.03%
 23.0s|  1200 |   727 |243815 | 199.3 |   208M |  34 |1068 |1929 |2196 |  11k|  2 | 783 |  17 | 0.000000e+00 |      --      |    Inf |   2.03%
 23.0s|  1300 |   711 |251714 | 190.0 |   209M |  34 |1068 |1977 |2228 |  12k|  0 | 831 |  17 | 0.000000e+00 |      --      |    Inf |   2.03%
 24.0s|  1400 |   705 |260680 | 182.9 |   209M |  39 |1068 |2026 |2194 |  12k|  2 | 880 |  17 | 0.000000e+00 |      --      |    Inf |   2.03%
 25.0s|  1500 |   723 |274072 | 179.6 |   210M |  39 |1068 |2103 |2205 |  12k|  2 | 966 |  17 | 0.000000e+00 |      --      |    Inf |   2.03%
 26.0s|  1600 |   719 |286457 | 176.1 |   210M |  39 |1068 |2215 |2218 |  12k|  1 |1086 |  17 | 0.000000e+00 |      --      |    Inf |   2.03%
 28.0s|  1700 |   767 |308221 | 178.6 |   211M |  39 |1068 |2264 |2232 |  14k|  2 |1162 |  17 | 0.000000e+00 |      --      |    Inf |   2.61%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 29.0s|  1800 |   809 |323575 | 177.2 |   213M |  39 |1068 |2274 |2159 |  14k|  2 |1204 |  17 | 0.000000e+00 |      --      |    Inf |   2.98%
