objective value:                                    0
x0_1                                                1   (obj:0)
x0_2                                                1   (obj:0)
x0_3                                                1   (obj:0)
x0_4                                                1   (obj:0)
x0_5                                                1   (obj:0)
x0_6                                                1   (obj:0)
x0_7                                                1   (obj:0)
x0_8                                                1   (obj:0)
x0_9                                                1   (obj:0)
x1_3                                                1   (obj:0)
x1_5                                                1   (obj:0)
x1_6                                                1   (obj:0)
x1_7                                                1   (obj:0)
x1_8                                                1   (obj:0)
x1_9                                                1   (obj:0)
x1_10                                               1   (obj:0)
x1_18                                               1   (obj:0)
x2_3                                                1   (obj:0)
x2_4                                                1   (obj:0)
x2_5                                                1   (obj:0)
x2_6                                                1   (obj:0)
x2_7                                                1   (obj:0)
x2_8                                                1   (obj:0)
x2_9                                                1   (obj:0)
x2_10                                               1   (obj:0)
x3_6                                                1   (obj:0)
x3_7                                                1   (obj:0)
x3_8                                                1   (obj:0)
x3_9                                                1   (obj:0)
x3_10                                               1   (obj:0)
x3_20                                               1   (obj:0)
x4_7                                                1   (obj:0)
x4_11                                               1   (obj:0)
x4_12                                               1   (obj:0)
x4_13                                               1   (obj:0)
x4_14                                               1   (obj:0)
x4_16                                               1   (obj:0)
x4_19                                               1   (obj:0)
x5_8                                                1   (obj:0)
x5_9                                                1   (obj:0)
x5_11                                               1   (obj:0)
x5_12                                               1   (obj:0)
x5_13                                               1   (obj:0)
x5_15                                               1   (obj:0)
x6_7                                                1   (obj:0)
x6_8                                                1   (obj:0)
x6_9                                                1   (obj:0)
x6_11                                               1   (obj:0)
x6_14                                               1   (obj:0)
x7_8                                                1   (obj:0)
x7_9                                                1   (obj:0)
x7_17                                               1   (obj:0)
x8_9                                                1   (obj:0)
x8_19                                               1   (obj:0)
x9_17                                               1   (obj:0)
x10_11                                              1   (obj:0)
x10_12                                              1   (obj:0)
x10_13                                              1   (obj:0)
x10_14                                              1   (obj:0)
x10_15                                              1   (obj:0)
x10_16                                              1   (obj:0)
x11_17                                              1   (obj:0)
x11_18                                              1   (obj:0)
x11_21                                              1   (obj:0)
x11_22                                              1   (obj:0)
x11_23                                              1   (obj:0)
x12_17                                              1   (obj:0)
x12_18                                              1   (obj:0)
x12_19                                              1   (obj:0)
x12_21                                              1   (obj:0)
x12_22                                              1   (obj:0)
x12_23                                              1   (obj:0)
x13_17                                              1   (obj:0)
x13_18                                              1   (obj:0)
x13_19                                              1   (obj:0)
x13_20                                              1   (obj:0)
x13_21                                              1   (obj:0)
x13_22                                              1   (obj:0)
x14_15                                              1   (obj:0)
x14_17                                              1   (obj:0)
x14_20                                              1   (obj:0)
x14_21                                              1   (obj:0)
x14_22                                              1   (obj:0)
x14_23                                              1   (obj:0)
x15_17                                              1   (obj:0)
x15_18                                              1   (obj:0)
x15_19                                              1   (obj:0)
x15_21                                              1   (obj:0)
x15_22                                              1   (obj:0)
x15_23                                              1   (obj:0)
x16_17                                              1   (obj:0)
x16_18                                              1   (obj:0)
x16_19                                              1   (obj:0)
x16_20                                              1   (obj:0)
x16_21                                              1   (obj:0)
x16_22                                              1   (obj:0)
x16_23                                              1   (obj:0)
x17_20                                              1   (obj:0)
x18_20                                              1   (obj:0)
x18_21                                              1   (obj:0)
x18_23                                              1   (obj:0)
x19_20                                              1   (obj:0)
x19_22                                              1   (obj:0)
x19_23                                              1   (obj:0)
x20_21                                              1   (obj:0)
x20_23                                              1   (obj:0)
x21_22                                              1   (obj:0)
x22_23                                              1   (obj:0)
t0_1_3                                              1   (obj:0)
t0_1_5                                              1   (obj:0)
t0_1_6                                              1   (obj:0)
t0_1_7                                              1   (obj:0)
t0_1_8                                              1   (obj:0)
t0_1_9                                              1   (obj:0)
t0_2_3                                              1   (obj:0)
t0_2_4                                              1   (obj:0)
t0_2_5                                              1   (obj:0)
t0_2_6                                              1   (obj:0)
t0_2_7                                              1   (obj:0)
t0_2_8                                              1   (obj:0)
t0_2_9                                              1   (obj:0)
t0_3_6                                              1   (obj:0)
t0_3_7                                              1   (obj:0)
t0_3_8                                              1   (obj:0)
t0_3_9                                              1   (obj:0)
t0_4_7                                              1   (obj:0)
t0_5_8                                              1   (obj:0)
t0_5_9                                              1   (obj:0)
t0_6_7                                              1   (obj:0)
t0_6_8                                              1   (obj:0)
t0_6_9                                              1   (obj:0)
t0_7_8                                              1   (obj:0)
t0_7_9                                              1   (obj:0)
t0_8_9                                              1   (obj:0)
t1_3_6                                              1   (obj:0)
t1_3_7                                              1   (obj:0)
t1_3_8                                              1   (obj:0)
t1_3_9                                              1   (obj:0)
t1_3_10                                             1   (obj:0)
t1_5_8                                              1   (obj:0)
t1_5_9                                              1   (obj:0)
t1_6_7                                              1   (obj:0)
t1_6_8                                              1   (obj:0)
t1_6_9                                              1   (obj:0)
t1_7_8                                              1   (obj:0)
t1_7_9                                              1   (obj:0)
t1_8_9                                              1   (obj:0)
t2_3_6                                              1   (obj:0)
t2_3_7                                              1   (obj:0)
t2_3_8                                              1   (obj:0)
t2_3_9                                              1   (obj:0)
