objective value:                                    0
x0_1                                                1   (obj:0)
x0_2                                                1   (obj:0)
x0_3                                                1   (obj:0)
x0_4                                                1   (obj:0)
x0_5                                                1   (obj:0)
x0_6                                                1   (obj:0)
x0_7                                                1   (obj:0)
x0_8                                                1   (obj:0)
x0_9                                                1   (obj:0)
x1_10                                               1   (obj:0)
x1_11                                               1   (obj:0)
x1_12                                               1   (obj:0)
x1_13                                               1   (obj:0)
x1_16                                               1   (obj:0)
x1_17                                               1   (obj:0)
x1_18                                               1   (obj:0)
x1_19                                               1   (obj:0)
x2_10                                               1   (obj:0)
x2_11                                               1   (obj:0)
x2_12                                               1   (obj:0)
x2_13                                               1   (obj:0)
x2_14                                               1   (obj:0)
x2_16                                               1   (obj:0)
x2_17                                               1   (obj:0)
x2_18                                               1   (obj:0)
x3_10                                               1   (obj:0)
x3_11                                               1   (obj:0)
x3_12                                               1   (obj:0)
x3_13                                               1   (obj:0)
x3_14                                               1   (obj:0)
x3_15                                               1   (obj:0)
x3_16                                               1   (obj:0)
x3_17                                               1   (obj:0)
x4_5                                                1   (obj:0)
x4_10                                               1   (obj:0)
x4_11                                               1   (obj:0)
x4_15                                               1   (obj:0)
x4_16                                               1   (obj:0)
x4_17                                               1   (obj:0)
x4_18                                               1   (obj:0)
x4_19                                               1   (obj:0)
x5_10                                               1   (obj:0)
x5_12                                               1   (obj:0)
x5_13                                               1   (obj:0)
x5_14                                               1   (obj:0)
x5_16                                               1   (obj:0)
x5_17                                               1   (obj:0)
x5_18                                               1   (obj:0)
x6_10                                               1   (obj:0)
x6_11                                               1   (obj:0)
x6_13                                               1   (obj:0)
x6_14                                               1   (obj:0)
x6_15                                               1   (obj:0)
x6_16                                               1   (obj:0)
x6_17                                               1   (obj:0)
x6_18                                               1   (obj:0)
x7_9                                                1   (obj:0)
x7_12                                               1   (obj:0)
x7_13                                               1   (obj:0)
x7_19                                               1   (obj:0)
x7_20                                               1   (obj:0)
x7_21                                               1   (obj:0)
x7_22                                               1   (obj:0)
x7_23                                               1   (obj:0)
x8_9                                                1   (obj:0)
x8_11                                               1   (obj:0)
x8_12                                               1   (obj:0)
x8_19                                               1   (obj:0)
x8_20                                               1   (obj:0)
x8_21                                               1   (obj:0)
x8_22                                               1   (obj:0)
x8_23                                               1   (obj:0)
x9_15                                               1   (obj:0)
x9_19                                               1   (obj:0)
x9_20                                               1   (obj:0)
x9_21                                               1   (obj:0)
x9_22                                               1   (obj:0)
x9_23                                               1   (obj:0)
x10_15                                              1   (obj:0)
x10_20                                              1   (obj:0)
x10_22                                              1   (obj:0)
x11_14                                              1   (obj:0)
x11_20                                              1   (obj:0)
x11_23                                              1   (obj:0)
x12_21                                              1   (obj:0)
x12_22                                              1   (obj:0)
x12_23                                              1   (obj:0)
x13_15                                              1   (obj:0)
x13_16                                              1   (obj:0)
x13_18                                              1   (obj:0)
x14_15                                              1   (obj:0)
x14_17                                              1   (obj:0)
x14_18                                              1   (obj:0)
x14_21                                              1   (obj:0)
x15_16                                              1   (obj:0)
x15_18                                              1   (obj:0)
x16_17                                              1   (obj:0)
x17_18                                              1   (obj:0)
x19_20                                              1   (obj:0)
x19_21                                              1   (obj:0)
x19_22                                              1   (obj:0)
x19_23                                              1   (obj:0)
x20_21                                              1   (obj:0)
x20_22                                              1   (obj:0)
x20_23                                              1   (obj:0)
x21_22                                              1   (obj:0)
x21_23                                              1   (obj:0)
x22_23                                              1   (obj:0)
t0_4_5                                              1   (obj:0)
t0_7_9                                              1   (obj:0)
t0_8_9                                              1   (obj:0)
t1_13_16                                            1   (obj:0)
t1_13_18                                            1   (obj:0)
t1_16_17                                            1   (obj:0)
t1_17_18                                            1   (obj:0)
t2_11_14                                            1   (obj:0)
t2_13_16                                            1   (obj:0)
t2_13_18                                            1   (obj:0)
t2_14_17                                            1   (obj:0)
t2_14_18                                            1   (obj:0)
t2_16_17                                            1   (obj:0)
t2_17_18                                            1   (obj:0)
t3_10_15                                            1   (obj:0)
t3_11_14                                            1   (obj:0)
t3_13_15                                            1   (obj:0)
t3_13_16                                            1   (obj:0)
t3_14_15                                            1   (obj:0)
t3_14_17                                            1   (obj:0)
t3_15_16                                            1   (obj:0)
t3_16_17                                            1   (obj:0)
t4_5_10                                             1   (obj:0)
t4_5_16                                             1   (obj:0)
t4_5_17                                             1   (obj:0)
t4_5_18                                             1   (obj:0)
t4_10_15                                            1   (obj:0)
t4_15_16                                            1   (obj:0)
t4_15_18                                            1   (obj:0)
t4_16_17                                            1   (obj:0)
t4_17_18                                            1   (obj:0)
t5_13_16                                            1   (obj:0)
t5_13_18                                            1   (obj:0)
t5_14_17                                            1   (obj:0)
t5_14_18                                            1   (obj:0)
t5_16_17                                            1   (obj:0)
t5_17_18                                            1   (obj:0)
t6_10_15                                            1   (obj:0)
t6_11_14                                            1   (obj:0)
t6_13_15                                            1   (obj:0)
t6_13_16                                            1   (obj:0)
t6_13_18                                            1   (obj:0)
t6_14_15                                            1   (obj:0)
